type	name	kegg_pathwayid	kegg_pathwayname	kegg_category
gene	ALDH1B1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ALDH7A1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ALDH9A1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	AOX1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACSF3	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ABAT	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	AGXT2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	MCCC1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	MCCC2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	AUH	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HMGCL	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HMGCLL1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	OXCT1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	OXCT2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	AACS	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACAT2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACAT1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HMGCS1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HMGCS2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	SDS	hsa00290	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
gene	SDSL	hsa00290	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
gene	BCAT2	hsa00290	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
gene	BCAT1	hsa00290	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
gene	AASS	hsa00310	Lysine degradation	Amino acid metabolism
gene	ALDH7A1	hsa00310	Lysine degradation	Amino acid metabolism
gene	AADAT	hsa00310	Lysine degradation	Amino acid metabolism
gene	DHTKD1	hsa00310	Lysine degradation	Amino acid metabolism
gene	DLST	hsa00310	Lysine degradation	Amino acid metabolism
gene	DLD	hsa00310	Lysine degradation	Amino acid metabolism
gene	GCDH	hsa00310	Lysine degradation	Amino acid metabolism
gene	HADHA	hsa00310	Lysine degradation	Amino acid metabolism
gene	EHHADH	hsa00310	Lysine degradation	Amino acid metabolism
gene	ECHS1	hsa00310	Lysine degradation	Amino acid metabolism
gene	HADH	hsa00310	Lysine degradation	Amino acid metabolism
gene	ACAT2	hsa00310	Lysine degradation	Amino acid metabolism
